present,numbers,dayoff,trip,trip2,요일,year,month,year_month,lunch_bob,lunch_soup,lunch_main,dinner_bob,dinner_soup,dinner_main,중식계,석식계,total
1981,2769,70,224,494,0,2016,9,201609,밥,아욱된장국,유자청돈육볶음,밥,무채맑은국,갈치조림,1185.0,710.0,1895.0
2100,2769,56,233,380,1,2016,9,201609,밥,느타리버섯국,간장파닭,쇠고기숙주규동덮밥,미소장국,탕수어,1033.0,550.0,1583.0
2494,2769,50,225,0,2,2016,9,201609,카레덮밥,맑은국,샐러드파스타,밥,조갯살미역국,미니채소떡갈비,1128.0,591.0,1719.0
2058,2769,153,227,331,3,2016,9,201609,밥,된장찌개,돈육장조림,충무김밥,잔치국수,오징어무침,1044.0,622.0,1666.0
2296,2769,158,256,59,4,2016,9,201609,밥,우거지해장국,꽁치한마리구이,밥,근대된장국,돈육강정,843.0,539.0,1382.0
1337,2670,59,239,1035,1,2016,10,201610,밥,배추된장국,버섯불고기,밥,콩비지찌개,닭볶음,1262.0,902.0,2164.0
2401,2670,41,228,0,2,2016,10,201610,밥,차돌박이찌개,매운주꾸미볶음,밥,순두부찌개,미니함박조림,1336.0,905.0,2241.0
1991,2670,56,245,378,3,2016,10,201610,밥,미역국,한방소갈비찜,작은밥,짬뽕,군만두,1196.0,352.0,1548.0
2194,2670,144,252,80,4,2016,10,201610,밥,대구매운탕,표고돈육탕수,밥,육개장,코다리엿장조림,843.0,554.0,1397.0
1907,2670,104,216,443,0,2016,10,201610,밥,쇠고기샤브국,오징어볶음,밥,콩나물국,돈육굴소스볶음,1180.0,546.0,1726.0
1959,2670,69,256,386,1,2016,10,201610,밥,시금치된장국,목살스테이크,김치볶음밥,미소장국,궁중떡볶음,1014.0,522.0,1536.0
2355,2670,64,251,0,2,2016,10,201610,팽이버섯국,생선커틀릿,오복지무침,밥,황태국,닭오븐구이,951.0,527.0,1478.0
1730,2670,66,262,612,3,2016,10,201610,밥,떡국,마늘치킨,통새우김밥,어묵우동,찹쌀순대볶음,1051.0,667.0,1718.0
2089,2670,144,265,172,4,2016,10,201610,밥,건새우무국,등갈비김치찜,밥,부대찌개,탕수어,898.0,544.0,1442.0
1897,2670,107,241,425,0,2016,10,201610,밥,미역국,소불고기,밥,해물된장찌개,닭매운찜,1196.0,527.0,1723.0
1961,2670,53,262,394,1,2016,10,201610,밥,꽃게탕,미트볼칠리조림,나가사키면/김,참치주먹밥,개성감자만두,994.0,544.0,1538.0
2331,2670,72,267,0,2,2016,10,201610,밥,참치김치찌개,유린기,밥,어묵국,돼지갈비찜,933.0,475.0,1408.0
2015,2670,105,269,281,3,2016,10,201610,밥,꽁치김치말이,메밀버섯전,옛날왕돈까스,옥수수스프,샐러드파스타,787.0,564.0,1351.0
2100,2670,228,280,62,4,2016,10,201610,짜장밥,계란국,사천식탕수육,밥,닭개장,해물청경채볶음,760.0,442.0,1202.0
1960,2670,120,223,367,0,2016,10,201610,밥,된장찌개,제육볶음,밥,북어계란국,닭강정,1171.0,600.0,1771.0
1993,2670,73,259,345,1,2016,10,201610,밥,육개장,갈치구이,오므라이스,가쯔오장국,훈제오리냉채,1028.0,559.0,1587.0
2323,2670,89,258,0,2,2016,10,201610,곤드레밥,배추된장국,데리야끼파닭,밥,쇠고기샤브국,가자미찜,854.0,410.0,1264.0
2064,2670,94,272,240,3,2016,10,201610,밥,동태찌개,돈육장조림,밥,바지락수제비,유산슬,807.0,454.0,1261.0
2138,2670,192,277,63,4,2016,10,201610,밥,버섯들깨탕,고등어조림,밥,오징어국,떡갈비조림,731.0,475.0,1206.0
2058,2670,134,223,255,0,2016,10,201610,밥,근대된장국,쇠고기숙주볶음,밥,부대찌개,삼치구이,1224.0,540.0,1764.0
1892,2689,70,212,515,1,2016,11,201611,밥,알탕,닭갈비,짜장덮밥,해물짬뽕,군만두,1087.0,578.0,1665.0
2385,2689,73,231,0,2,2016,11,201611,콩나물밥,가쯔오장국,훈제오리/무쌈,밥,청국장찌개,동파삼겹수육,1006.0,540.0,1546.0
1926,2689,72,283,408,3,2016,11,201611,밥,쇠고기무국,쭈꾸미볶음,참치회덮밥,미소장국,새우또띠아/음료,864.0,553.0,1417.0
2164,2689,168,276,81,4,2016,11,201611,밥,사골우거지탕,명태엿장조림,밥,순두부찌개,돈육굴소스볶음,803.0,497.0,1300.0
1795,2689,133,222,539,0,2016,11,201611,밥,오징어국,유자청제육볶음,밥,목살김치찌개,가자미튀김,1156.0,506.0,1662.0
1876,2689,60,250,503,1,2016,11,201611,밥,차돌박이찌개,순살양념치킨,낙지볶음덮밥,맑은국,언양식불고기,986.0,512.0,1498.0
2364,2689,58,267,0,2,2016,11,201611,단호박영양밥,꽃게탕,연근조림,밥,뼈해장국,고등어양념구이,920.0,499.0,1419.0
